"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"248","130.527498","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"249","130.663498","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"250","130.783525","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"251","130.938497","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"252","131.054499","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"253","131.881497","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"254","132.176496","1.12.1","host","USB","35","0200170000000000","URB_INTERRUPT in"
"255","132.287497","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"256","132.462833","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"257","133.179497","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"258","133.324497","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"259","133.560496","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"260","133.665521","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"261","135.073495","1.12.1","host","USB","35","0000090000000000","URB_INTERRUPT in"
"262","135.159494","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"263","136.031494","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"264","136.151493","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"265","136.331494","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"266","136.437518","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"267","136.642519","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"268","136.778520","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"269","138.632518","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"270","138.772490","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"271","139.073550","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"272","139.193517","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"273","139.910516","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"274","140.000515","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"275","142.196487","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"276","143.068512","1.12.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"277","143.168486","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"278","143.298486","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"279","144.501512","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"280","144.606486","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"281","145.489512","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"282","145.599486","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"283","146.205484","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"284","146.336484","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"285","146.551510","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"286","146.686484","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"287","146.872485","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"288","147.022509","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"289","147.313484","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"290","147.418481","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"291","148.300481","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"292","149.162482","1.12.1","host","USB","35","0200300000000000","URB_INTERRUPT in"
"293","149.233482","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"294","149.443508","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"295","150.736511","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"296","150.867506","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"297","152.185480","1.12.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"298","152.270481","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"299","152.906478","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"300","153.012480","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"301","154.295476","1.12.1","host","USB","35","0000370000000000","URB_INTERRUPT in"
"302","154.370476","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"303","155.478502","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"304","155.588502","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"305","155.768501","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"306","155.889475","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"307","156.039473","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"308","156.159501","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"309","156.445499","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"310","156.565507","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"311","159.352497","1.12.1","host","USB","35","0000200000000000","URB_INTERRUPT in"
"312","159.477472","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"313","159.858497","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"314","159.979472","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"315","160.279471","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"316","160.405497","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"317","160.916472","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"318","161.026498","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"319","161.161496","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"320","161.277470","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"321","161.808496","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"322","161.923470","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"323","162.324468","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"324","162.445500","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"325","162.820468","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"326","162.951468","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"327","163.542468","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"328","163.627469","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"329","165.321492","1.12.1","host","USB","35","0000180000000000","URB_INTERRUPT in"
"330","165.417466","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"331","167.111465","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"332","167.226492","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"333","167.657465","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"334","167.782490","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"335","169.071493","1.12.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"336","169.151490","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"337","169.502488","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"338","169.857464","1.12.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"339","169.938463","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"340","170.093461","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"341","171.531462","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"342","171.667487","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"343","171.902486","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"344","171.998460","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"345","172.820486","1.12.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"346","172.895461","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"347","174.168496","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"348","174.363460","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"349","174.719457","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"350","174.860456","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"351","175.040458","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"352","175.165458","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"353","175.316457","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"354","175.421458","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"355","175.541458","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"356","175.641490","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"357","175.752458","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"358","175.837457","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"359","175.937458","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"360","176.017457","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"361","176.128453","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"362","176.223457","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"363","176.448456","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"364","176.554483","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"365","176.789457","1.12.1","host","USB","35","0000500000000000","URB_INTERRUPT in"
"366","176.884457","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"367","177.145482","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"368","177.616472","1.12.1","host","USB","35","0200050000000000","URB_INTERRUPT in"
"369","177.691455","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"370","177.862455","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"371","178.378456","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"372","178.508455","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"373","178.709454","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"374","178.824462","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"375","178.984455","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"376","179.090454","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"377","179.230455","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"378","179.330480","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"379","179.471454","1.12.1","host","USB","35","00004f0000000000","URB_INTERRUPT in"
"380","179.586455","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
